locale,FLAPAQ,FLASCQ,FLASTQ,FLATCQ,ICQ,LDWSTQ,PAQ,SCQ,STQ,TCQ,FLATCQSCI
sq-AL,N,N,N,N,N,Y,N,Y,Y,N,N
es-AR,N,N,N,N,Y,Y,N,Y,Y,N,N
hy-AM,N,N,N,N,N,Y,N,Y,Y,N,N
en-AU,N,N,N,N,Y,Y,N,Y,Y,Y,N
de-AT,N,N,N,N,Y,Y,N,Y,Y,N,N
az-QZ,N,N,N,N,N,Y,N,Y,Y,N,N
ru-QZ,N,N,N,N,N,Y,N,N,Y,N,N
nl-BE,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
de-BE,N,N,N,N,Y,Y,N,Y,Y,N,N
fr-BE,N,N,N,N,Y,Y,N,Y,Y,N,N
bs-BA,N,N,N,N,N,N,N,N,N,N,N
hr-BA,N,N,N,N,N,N,N,N,N,N,N
sr-Cyrl-BA,N,N,N,N,N,N,N,N,N,N,N
pt-BR,N,N,N,N,N,Y,Y,Y,Y,N,N
en-BN,N,N,N,N,Y,Y,Y,Y,Y,Y,N
ar-MA,N,N,N,N,Y,Y,N,Y,Y,Y,N
bg-BG,N,Y,Y,N,Y,Y,N,Y,Y,N,N
en-CA,N,N,N,N,N,Y,N,Y,Y,N,N
fr-CA,N,N,N,N,N,Y,N,Y,Y,N,N
es-CL,N,N,N,N,N,Y,N,Y,Y,N,N
zh-TW,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
es-CO,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
ca-ES,N,Y,Y,N,Y,Y,N,Y,Y,N,N
hr-HR,N,Y,Y,N,N,Y,N,Y,Y,N,N
el-CY,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y
en-CY,N,N,N,N,N,Y,N,Y,Y,N,N
cs-CZ,N,Y,Y,N,N,Y,N,Y,Y,N,N
da-DK,N,Y,Y,N,N,Y,N,Y,Y,N,N
fo-DK,N,N,N,N,N,Y,N,Y,Y,N,N
ca-ES-valencia,N,Y,Y,N,Y,Y,N,Y,Y,N,N
cy-GB,N,N,N,N,N,N,N,N,N,N,N
ar-EG,N,N,N,N,N,Y,N,Y,Y,N,N
en-EG,N,N,N,N,N,Y,N,N,Y,N,N
es-SV,N,N,N,N,N,Y,N,Y,Y,N,N
et-EE,N,N,N,N,Y,Y,N,Y,Y,N,N
ru-EE,N,N,N,N,Y,Y,N,N,Y,N,N
en-GH,N,N,N,N,N,N,N,N,N,N,N
fi-FI,N,Y,Y,N,Y,Y,N,Y,Y,N,N
fr-FR,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y
ka-GE,N,N,N,N,Y,Y,Y,Y,Y,Y,N
ru-GE,N,N,N,N,Y,Y,Y,Y,Y,Y,N
az-GE,N,N,N,N,Y,Y,Y,Y,Y,Y,N
de-DE,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
en-LU,N,N,N,N,Y,Y,Y,N,Y,N,N
el-GR,N,Y,Y,N,Y,Y,N,Y,Y,N,N
en-PS,N,N,N,N,N,Y,N,Y,Y,N,N
en-HK,N,N,N,N,Y,Y,Y,Y,Y,Y,N
hu-HU,N,N,N,N,Y,Y,N,Y,Y,N,N
is-IS,N,N,N,N,Y,Y,N,Y,Y,Y,N
id-ID,N,N,N,N,N,Y,N,Y,Y,N,N
en-IE,N,N,N,N,Y,Y,Y,Y,Y,N,N
en-SE,N,N,N,N,N,Y,N,Y,Y,N,N
ar-IL,N,N,Y,N,Y,Y,N,N,Y,N,N
he-IL,N,Y,Y,N,Y,Y,N,Y,Y,N,N
it-IT,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
de-IT,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N
en-JM,N,N,N,N,N,N,N,N,N,N,N
ja-JP,N,N,N,N,Y,Y,N,Y,Y,N,N
ar-JO,N,N,N,N,Y,Y,N,Y,Y,N,N
kk-KZ,N,N,N,N,N,Y,N,Y,Y,N,N
ru-KZ,N,N,N,N,N,Y,N,Y,Y,N,N
en-KE,N,N,N,N,N,Y,N,Y,Y,N,N
ko-KR,N,N,N,N,Y,Y,Y,Y,Y,Y,N
sq-XK,N,N,N,N,N,Y,N,Y,Y,N,N
sr-XK,N,N,N,N,N,Y,N,Y,Y,N,N
ru-KG,N,N,N,N,N,Y,N,Y,Y,N,N
ky-KG,N,N,N,N,N,Y,N,Y,Y,N,N
uz-KG,N,N,N,N,N,Y,N,Y,Y,N,N
lv-LV,N,N,N,N,N,Y,N,Y,Y,N,N
en-LB,N,N,N,N,Y,Y,N,Y,Y,N,N
fr-LB,N,N,N,N,Y,Y,N,Y,Y,N,N
es-CR,N,N,N,N,N,Y,N,Y,Y,N,N
es-DO,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
lt-LT,N,N,N,N,N,Y,N,Y,Y,N,N
de-LU,N,N,N,N,Y,Y,Y,N,Y,N,N
fr-LU,N,N,N,N,Y,Y,Y,Y,Y,N,N
es-EC,N,N,N,N,N,Y,N,Y,Y,N,N
es-ES,N,Y,Y,N,Y,Y,N,Y,Y,N,N
zh-MO,N,N,N,N,Y,Y,Y,Y,Y,Y,N
en-MO,N,N,N,N,Y,Y,Y,Y,Y,Y,N
en-MY,N,N,N,N,Y,Y,N,Y,Y,Y,N
ms-MY,N,N,N,N,Y,Y,N,Y,Y,Y,N
en-MT,N,N,N,N,N,Y,N,Y,Y,N,N
es-GT,N,N,N,N,N,Y,N,Y,Y,N,N
es-MX,N,N,N,N,N,Y,N,Y,Y,N,N
es-PA,N,N,N,Y,Y,Y,N,Y,Y,Y,Y
ro-MD,N,N,N,N,N,Y,N,Y,Y,N,N
ru-MD,N,N,N,N,N,Y,N,Y,Y,N,N
mn-MN,N,N,N,N,Y,Y,Y,Y,Y,Y,N
es-PE,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y
cnr-ME,N,N,N,N,N,Y,N,Y,Y,N,N
es-PY,N,N,N,N,N,Y,N,Y,Y,N,N
es-UY,N,N,N,N,Y,Y,N,Y,Y,N,N
fr-MA,N,N,N,N,N,N,N,N,N,N,N
nl-NL,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N
en-NZ,N,N,N,N,Y,Y,N,Y,Y,N,N
sq-MK,N,N,N,N,N,Y,N,Y,Y,N,N
mk-MK,N,N,N,N,N,Y,N,Y,Y,N,N
nb-NO,N,N,N,N,N,Y,N,Y,Y,N,N
nn-NO,N,N,N,N,N,Y,N,N,Y,N,N
ar-PS,N,N,N,N,N,Y,N,Y,Y,N,N
fr-SN,N,N,N,N,N,N,N,N,N,N,N
ga-IE,N,N,N,N,Y,Y,Y,Y,Y,N,N
hu-RO,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
hu-RS,N,N,N,N,N,Y,N,Y,Y,N,N
en-PH,N,N,N,N,N,Y,N,Y,Y,N,N
pl-PL,N,N,N,N,Y,Y,N,Y,Y,N,N
pt-PT,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
ar-QA,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y
en-QA,N,N,N,N,Y,Y,N,Y,Y,Y,N
ro-RO,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
hu-SK,N,N,N,N,N,Y,N,N,Y,N,N
ar-SA,N,N,N,N,N,Y,N,Y,Y,N,N
en-SA,N,N,N,N,N,Y,N,Y,Y,N,N
it-CH,N,N,N,N,Y,Y,N,Y,Y,N,N
sr-RS,N,N,N,N,N,Y,N,Y,Y,N,N
kaa-UZ,N,N,N,N,N,Y,N,Y,Y,N,N
en-SG,N,N,N,N,Y,Y,N,Y,Y,N,N
sk-SK,N,N,N,N,N,Y,N,Y,Y,N,N
kk-MN,N,N,N,N,N,Y,N,Y,Y,N,N
sl-SI,N,N,N,N,Y,Y,N,Y,Y,N,N
sl-SI-x-isced2,N,N,N,N,Y,Y,N,Y,Y,N,N
ms-BN,N,N,N,N,N,N,Y,N,N,N,N
eu-ES,N,Y,Y,N,Y,Y,N,Y,Y,N,N
gl-ES,N,Y,Y,N,Y,Y,N,Y,Y,N,N
mt-MT,N,N,N,N,N,N,N,N,N,N,N
sv-SE,N,Y,Y,N,N,Y,N,Y,Y,N,N
pl-LT,N,N,N,N,N,Y,N,Y,Y,N,N
de-CH,N,N,N,N,Y,Y,N,Y,Y,N,N
fr-CH,N,N,N,N,Y,Y,N,Y,Y,N,N
pt-MO,N,N,N,N,Y,Y,Y,Y,Y,Y,N
th-TH,N,N,N,N,N,Y,N,Y,Y,N,N
tr-TR,N,N,N,N,Y,Y,N,Y,Y,N,N
uk-UA,N,Y,Y,N,Y,Y,N,Y,Y,N,N
ar-AE,N,N,N,N,Y,Y,Y,Y,Y,N,N
en-AE,N,N,N,N,Y,Y,Y,Y,Y,N,N
en-GB-x-excscotl,N,N,N,N,N,Y,N,Y,Y,N,N
ru-LT,N,N,N,N,N,Y,N,Y,Y,N,N
en-GB-scotland,N,N,N,N,Y,Y,N,Y,Y,N,N
en-US,N,N,N,N,Y,Y,N,Y,Y,N,N
sq-ME,N,N,N,N,N,Y,N,N,Y,N,N
uz-UZ,N,N,N,N,N,Y,N,Y,Y,N,N
ru-UZ,N,N,N,N,N,Y,N,Y,Y,N,N
sv-FI,N,Y,Y,N,Y,Y,N,Y,Y,N,N
vi-VN,N,N,N,N,N,Y,N,Y,Y,N,N
zh-Hant-ZZ,N,N,N,N,Y,Y,N,N,Y,N,N
zh-HK,N,N,N,N,Y,Y,Y,Y,Y,Y,N
pt-ZZ,N,N,N,N,Y,N,N,N,N,Y,N
en-MU,N,N,N,N,N,N,N,Y,Y,N,N
en-RW,N,N,N,N,N,N,N,N,N,N,N
en-ZM,N,N,N,N,N,N,N,Y,Y,N,N
km-KH,N,N,N,N,N,N,N,Y,Y,N,N
tg-TJ,N,N,N,N,N,N,N,Y,Y,N,N
ru-TJ,N,N,N,N,N,N,N,Y,Y,N,N
kmr-Arab-IQ,N,N,N,N,N,N,N,Y,Y,N,N
ckb-Arab-IQ,N,N,N,N,N,N,N,N,N,N,N
zh-CN,N,N,N,N,Y,Y,N,Y,Y,N,N
